

[T:166761]$050403020155,260330080012565,113.93384,22.52489,-0.06714,-0.18213,0.98010,0.34375,-0.04688,-0.01563,0,0,0,0.354,0.245,1.331*

[T:167270]$050403020155,260330080012665,113.93384,22.52489,-0.06738,-0.18359,0.98083,0.07813,-0.04688,0.10938,0,0,0,0.354,0.248,1.331*

[T:167778]$050403020155,260330080012765,113.93384,22.52489,-0.06775,-0.18127,0.98035,-0.07813,0.00000,0.07813,0,0,0,0.354,0.248,1.331*

[T:168287]$050403020155,260330080012865,113.93384,22.52489,-0.06726,-0.18188,0.98022,-0.21875,0.12500,0.06250,0,0,0,0.351,0.248,1.331*

[T:168796]$050403020155,260330080013965,113.93384,22.52489,-0.06702,-0.18250,0.98010,-0.01563,-0.14063,0.14063,0,0,0,0.354,0.248,1.334*

[T:169305]$050403020155,260330080013065,113.93384,22.52489,-0.06653,-0.18262,0.98047,0.06250,0.23438,0.01563,0,0,0,0.354,0.248,1.334*

[T:169813]$050403020155,260330080013165,113.93384,22.52489,-0.06812,-0.18237,0.97937,0.12500,-0.12500,0.09375,0,0,0,0.354,0.245,1.331*

[T:170322]$050403020155,260330080013265,113.93384,22.52489,-0.06677,-0.18176,0.97900,0.18750,0.07813,-0.20313,0,0,0,0.358,0.248,1.331*

[T:170831]$050403020155,260330080013365,113.93384,22.52489,-0.06726,-0.18176,0.97961,0.01563,-0.03125,-0.10938,0,0,0,0.354,0.248,1.331*

[T:171340]$050403020155,260330080013465,113.93384,22.52489,-0.06677,-0.18176,0.97900,-0.04688,0.01563,-0.18750,0,0,0,0.354,0.245,1.334*

[T:171849]$050403020155,260330080013565,113.93384,22.52489,-0.06738,-0.18103,0.98108,-0.09375,0.14063,4.06250,0,0,0,0.354,0.248,1.334*

[T:172358]$050403020155,260330080013665,113.93384,22.52489,-0.06726,-0.18347,0.97913,0.06250,-0.06250,-0.01563,0,0,0,0.354,0.248,1.334*

[T:172867]$050403020155,260330080013765,113.93384,22.52489,-0.06787,-0.18286,0.97925,0.01563,0.12500,0.21875,0,0,0,0.354,0.245,1.331*

[T:173375]$050403020155,260330080013865,113.93384,22.52489,-0.06653,-0.18140,0.98059,0.04688,-0.09375,0.04688,0,0,0,0.354,0.248,1.331*

[T:173884]$050403020155,260330080014965,113.93384,22.52489,-0.06726,-0.18298,0.97949,0.07813,0.10938,-0.03125,0,0,0,0.354,0.245,1.328*

[T:174393]$050403020155,260330080014065,113.93384,22.52489,-0.06824,-0.18262,0.98047,-0.32813,0.00000,0.15625,0,0,0,0.354,0.248,1.334*

[T:174902]$050403020155,260330080014165,113.93384,22.52489,-0.06750,-0.18225,0.98010,-0.17188,0.20313,0.03125,0,0,0,0.354,0.248,1.331*

[T:175411]$050403020155,260330080014265,113.93384,22.52489,-0.06665,-0.18262,0.97913,-0.20313,0.06250,0.07813,0,0,0,0.354,0.245,1.331*

[T:175920]$050403020155,260330080014365,113.93384,22.52489,-0.06689,-0.18372,0.97742,0.15625,-0.06250,-0.06250,0,0,0,0.354,0.245,1.331*

[T:176429]$050403020155,260330080014465,113.93384,22.52489,-0.06726,-0.18311,0.97839,0.01563,0.07813,0.23438,0,0,0,0.354,0.245,1.331*

[T:176937]$050403020155,260330080014565,113.93384,22.52489,-0.06689,-0.18286,0.98083,0.04688,-0.06250,-0.01563,0,0,0,0.354,0.245,1.331*

[T:177446]$050403020155,260330080014665,113.93384,22.52489,-0.06738,-0.18152,0.97913,0.14063,0.14063,0.06250,0,0,0,0.354,0.245,1.331*

[T:177955]$050403020155,260330080014765,113.93384,22.52489,-0.06702,-0.18176,0.97998,0.03125,0.04688,-0.09375,0,0,0,0.354,0.245,1.331*

[T:178464]$050403020155,260330080014865,113.93384,22.52489,-0.06763,-0.18103,0.98022,-0.14063,0.12500,-0.01563,0,0,0,0.354,0.248,1.331*

[T:178973]$050403020155,260330080015965,113.93384,22.52489,-0.06677,-0.18347,0.97852,-0.17188,-0.20313,-0.03125,0,0,0,0.351,0.245,1.331*

[T:179481]$050403020155,260330080015065,113.93384,22.52489,-0.06702,-0.18213,0.97852,0.26563,-0.07813,0.15625,0,0,0,0.354,0.245,1.331*

[T:179990]$050403020155,260330080015165,113.93384,22.52489,-0.06763,-0.18335,0.97961,0.12500,0.10938,0.03125,0,0,0,0.354,0.248,1.331*

[T:180499]$050403020155,260330080015265,113.93384,22.52489,-0.06750,-0.18201,0.97876,0.20313,-0.09375,0.10938,0,0,0,0.354,0.248,1.331*

